fips,usdm_current_category,usdm_current_score,usdm_pct_d0_plus,usdm_pct_d2_plus,drought_frequency_score,usdm_peak_drought_d3d4_pct,usdm_as_of
48023,D2,87.7,246.2,46.2,,,20260915
48025,D2,120.0,300.0,100.0,,,20260915
48027,D2,108.1,280.1,80.1,,,20260915
48029,D1,32.8,132.1,0.0,,,20260915
48031,D1,24.5,111.2,0.0,,,20260915
48033,D2,67.3,212.2,12.2,,,20260915
48035,D2,120.0,300.0,100.0,,,20260915
48037,D2,81.9,235.2,39.0,,,20260915
48039,D1,37.8,144.6,0.0,,,20260915
48041,D1,59.8,199.4,0.0,,,20260915
48043,D1,60.0,197.3,5.2,,,20260915
48045,D4,237.2,437.1,237.2,,,20260915
48047,D3,148.7,332.0,132.0,,,20260915
48049,D1,60.0,200.0,0.0,,,20260915
48051,D1,60.0,200.0,0.0,,,20260915
48053,D1,58.1,195.4,0.0,,,20260915
48055,D1,59.3,198.2,0.0,,,20260915
48057,D2,80.9,234.8,34.8,,,20260915
48059,D1,52.5,178.6,5.1,,,20260915
48061,D4,234.5,431.9,231.9,,,20260915
48063,D2,120.0,300.0,100.0,,,20260915
48065,D4,299.9,499.9,299.9,,,20260915
48067,D2,74.4,224.1,24.1,,,20260915
48069,D3,200.0,400.0,200.0,,,20260915
48071,D1,33.5,133.9,0.0,,,20260915
48073,D2,65.1,201.0,23.4,,,20260915
48075,D3,149.4,336.8,136.8,,,20260915
48077,D3,178.7,373.4,173.4,,,20260915
48079,D2,88.9,248.1,48.1,,,20260915
48081,D1,60.0,200.0,0.0,,,20260915
48083,D1,60.0,200.0,0.0,,,20260915
48085,D3,179.2,372.2,172.2,,,20260915
48087,D2,122.7,303.4,103.4,,,20260915
48089,D2,89.7,249.4,49.5,,,20260915
48091,D0,20.0,100.0,0.0,,,20260915
48093,D2,94.8,258.0,58.0,,,20260915
48095,D1,60.0,199.9,0.0,,,20260915
48097,D3,143.8,329.8,129.8,,,20260915
48099,D2,108.0,280.0,80.0,,,20260915
48101,D3,148.9,335.9,135.9,,,20260915
48103,D1,56.3,190.2,1.4,,,20260915
48105,D1,28.5,121.3,0.0,,,20260915
48107,D3,152.4,340.4,140.4,,,20260915
48109,D2,88.7,247.6,47.6,,,20260915
48111,D3,192.5,388.2,188.2,,,20260915
48113,D3,190.6,388.3,188.3,,,20260915
48115,D2,64.8,201.8,20.2,,,20260915
48117,D4,225.8,425.3,225.3,,,20260915
48119,D3,197.4,396.8,196.8,,,20260915
48121,D3,200.0,400.0,200.0,,,20260915
48123,D2,119.9,299.8,99.8,,,20260915
48125,D4,231.9,431.7,231.7,,,20260915
48127,D1,60.0,200.0,0.0,,,20260915
48129,D4,184.8,376.2,176.2,,,20260915
48131,D3,128.5,310.6,110.6,,,20260915
